;customerID;Genero;Idoso;Casado;Dependents;Tempo_como_Cliente;PhoneService;Servico_Internet;Servico_Seguranca;Suporte_Tecnico;StreamingTV;Tipo_Contrato;PaymentMethod;Pagamento_Mensal;Total_Pago;Churn
0;7590-VHVEG;Female;0;Yes;No;1;No;DSL;No;No;No;Month-to-month;Electronic check;29.85;29.85;No
1;5575-GNVDE;Male;0;No;No;34;Yes;DSL;Yes;No;No;One year;Mailed check;56.95;1889.50;No
2;3668-QPYBK;Male;0;No;No;2;Yes;DSL;Yes;No;No;Month-to-month;Mailed check;53.85;108.15;Yes
3;7795-CFOCW;Male;0;No;No;45;No;DSL;Yes;Yes;No;One year;Bank transfer (automatic);NaN;1840.75;No
4;9237-HQITU;NaN;0;No;No;2;Yes;Fiber optic;No;No;No;Month-to-month;Electronic check;NaN;151.65;Yes
5;9305-CDSKC;NaN;0;No;No;8;Yes;Fiber optic;No;No;Yes;Month-to-month;Electronic check;NaN;820.50;NaN
6;1452-KIOVK;NaN;0;No;Yes;22;Yes;Fiber optic;No;No;Yes;Month-to-month;Credit card (automatic);NaN;1949.40;NaN
7;6713-OKOMC;NaN;0;No;No;10;No;DSL;Yes;No;No;Month-to-month;Mailed check;NaN;301.90;NaN
8;7892-POOKP;NaN;0;Yes;No;28;Yes;Fiber optic;No;Yes;Yes;Month-to-month;Electronic check;NaN;3046.05;NaN
9;6388-TABGU;NaN;0;No;Yes;62;Yes;dsl;Yes;No;No;One year;Bank transfer (automatic);NaN;3487.95;NaN
